"table","long_name","units","comment","questions_and_notes","output_variable_name","standard_name","unconfirmed_or_proposed_standard_name","unformatted_units","cell_methods","valid_min","valid_max","mean_absolute_min","mean_absolute_max","positive","type","CMOR_dimensions","CMOR_variable_name","realm","frequency","cell_measures","flag_values","flag_meanings"
"Oyr","Phytoplankton Nitrogen Concentration","mol m-3","sum of phytoplankton nitrogen component concentrations",,"phyn","mole_concentration_of_phytoplankton_expressed_as_nitrogen_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phyn","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Phytoplankton Phosphorus Concentration","mol m-3","sum of phytoplankton phosphorus components",,"phyp","mole_concentration_of_phytoplankton_expressed_as_phosphorus_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phyp","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Phytoplankton Iron Concentration","mol m-3","sum of phytoplankton iron component concentrations",,"phyfe","mole_concentration_of_phytoplankton_expressed_as_iron_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phyfe","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Phytoplankton Silica Concentration","mol m-3","sum of phytoplankton silica component concentrations",,"physi","mole_concentration_of_phytoplankton_expressed_as_silicon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","physi","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Dimethyl Sulphide Concentration","mol m-3",,,"dms","mole_concentration_of_dimethyl_sulfide_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","dms","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Mole Concentration of Carbonate expressed as Carbon in Sea Water","mol m-3",,,"co3","mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","co3","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Mole Concentration of Calcite expressed as Carbon in Sea Water at Saturation","mol m-3",,,"co3satcalc","mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_at_saturation",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","co3satcalc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Mole Concentration of Aragonite expressed as Carbon in Sea Water at Saturation","mol m-3",,,"co3satarag","mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_at_saturation",,"mol m-3","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","co3satarag","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Primary Carbon Production by Phytoplankton","mol m-3 s-1","total primary (organic carbon) production by phytoplankton",,"pp","tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","pp","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Primary Carbon Production by Phytoplankton due to Nitrate Uptake Alone","mol m-3 s-1","Primary (organic carbon) production by phytoplankton due to nitrate uptake alone",,"pnitrate","tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_nitrate_utilization",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","pnitrate","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Biogenic Iron Production","mol m-3 s-1",,,"pbfe","tendency_of_mole_concentration_of_iron_in_sea_water_due_to_biological_production",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","pbfe","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Biogenic Silica Production","mol m-3 s-1",,,"pbsi","tendency_of_mole_concentration_of_silicon_in_sea_water_due_to_biological_production",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","pbsi","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Calcite Production","mol m-3 s-1",,,"pcalc","tendency_of_mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_due_to_biological_production",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","pcalc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Aragonite Production","mol m-3 s-1",,,"parag","tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_biological_production",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","parag","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Sinking Particulate Organic Carbon Flux","mol m-2 s-1",,,"expc","sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude olevel time","expc","ocnBgchem",,"area: areacello",,
"Oyr","Sinking Particulate Organic Nitrogen Flux","mol m-2 s-1",,,"expn","sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude olevel time","expn","ocnBgchem",,"area: areacello",,
"Oyr","Sinking Particulate Organic Phosphorus Flux","mol m-2 s-1",,,"expp","sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude olevel time","expp","ocnBgchem",,"area: areacello",,
"Oyr","Sinking Particulate Iron Flux","mol m-2 s-1",,,"expcfe","sinking_mole_flux_of_particulate_iron_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude olevel time","expcfe","ocnBgchem",,"area: areacello",,
"Oyr","Sinking Particulate Silica Flux","mol m-2 s-1",,,"expsi","sinking_mole_flux_of_particulate_silicon_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude olevel time","expsi","ocnBgchem",,"area: areacello",,
"Oyr","Sinking Calcite Flux","mol m-2 s-1",,,"expcalc","sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude olevel time","expcalc","ocnBgchem",,"area: areacello",,
"Oyr","Sinking Aragonite Flux","mol m-2 s-1",,,"exparag","sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude olevel time","exparag","ocnBgchem",,"area: areacello",,
"Oyr","Calcite Dissolution","mol m-3 s-1",,,"dcalc","tendency_of_mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_due_to_dissolution",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","dcalc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Aragonite Dissolution","mol m-3 s-1",,,"darag","tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_dissolution",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","darag","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Diatom Primary Carbon Production","mol m-3 s-1","Primary (organic carbon) production by the diatom component alone",,"pdi","tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diatoms",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","pdi","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Tendency of Mole Concentration of Organic Carbon in Sea Water due to Net Primary Production by Diazotrophs","mol m-3 s-1","Primary (organic carbon) production by the diazotrophic phytoplankton component alone",,"dpocdtdiaz","tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_diazotrophs",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","dpocdtdiaz","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Tendency of Mole Concentration of Organic Carbon in Sea Water due to Net Primary Production by Calcareous Phytoplankton","mol m-3 s-1","Primary (organic carbon) production by the calcite-producing phytoplankton component alone",,"dpocdtcalc","tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_calcareous_phytoplankton",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","dpocdtcalc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Tendency of Mole Concentration of Organic Carbon in Sea Water due to Net Primary Production by Picophytoplankton","mol m-3 s-1","Primary (organic carbon) production by the picophytoplankton (<2 um) component alone",,"dpocdtpico","tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_picophytoplankton",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","dpocdtpico","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Other Phytoplankton Carbon Production","mol m-3 s-1","Primary (organic carbon) production by other phytoplankton components alone","I think this variable might be unnecessary since it can be gotten by subtracting diatom primary carbon production from pp.","phypmisc","tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_miscellaneous_phytoplankton",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","phypmisc","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Rate of Change of Dissolved Inorganic Carbon due to Biological Activity","mol m-3 s-1","Net of biological terms in time rate of change of dissolved inorganic carbon",,"bddtdic","tendency_of_mole_concentration_of_dissolved_inorganic_carbon_in_sea_water_due_to_biological_processes",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","bddtdic","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Rate of Change of Nitrogen Nutrient due to Biological Activity","mol m-3 s-1","Net of biological terms in time rate of change of nitrogen nutrients (e.g. NO3+NH4)",,"bddtdin","tendency_of_mole_concentration_of_dissolved_inorganic_nitrogen_in_sea_water_due_to_biological_processes",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","bddtdin","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Rate of Change of Dissolved Phosphate due to Biological Activity","mol m-3 s-1","Net of biological terms in time rate of change of dissolved phosphate",,"bddtdip","tendency_of_mole_concentration_of_dissolved_inorganic_phosphate_in_sea_water_due_to_biological_processes",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","bddtdip","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Rate of Change of Dissolved Inorganic Iron due to Biological Activity","mol m-3 s-1","Net of biological terms in time rate of change of dissolved inorganic iron",,"bddtdife","tendency_of_mole_concentration_of_dissolved_inorganic_iron_in_sea_water_due_to_biological_processes",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","bddtdife","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Rate of Change of Dissolved Inorganic Silicate due to Biological Activity","mol m-3 s-1","Net of biological terms in time rate of change of dissolved inorganic silicate",,"bddtdisi","tendency_of_mole_concentration_of_dissolved_inorganic_silicate_in_sea_water_due_to_biological_processes",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","bddtdisi","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Rate of Change of Alkalinity due to Biological Activity","mol m-3 s-1","Net of biological terms in time rate of change of alkalinity",,"bddtalk","tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent_due_to_biological_processes",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","bddtalk","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Nonbiogenic Iron Scavenging","mol m-3 s-1","Dissolved Fe removed through nonbiogenic scavenging onto particles",,"fescav","tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_scavenging_by_inorganic_particles",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","fescav","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Particle Source of Dissolved Iron","mol m-3 s-1","Dissolution, remineralization and desorption of iron back to the dissolved phase",,"fediss","tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_dissolution_from_inorganic_particles",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","fediss","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Total Grazing of Phytoplankton by Zooplankton","mol m-3 s-1",,,"graz","tendency_of_mole_concentration_of_dissolved_iron_in_sea_water_due_to_grazing_of_phytoplankton",,"mol m-3 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","graz","ocnBgchem",,"area: areacello volume: volcello",,
"Oyr","Depth Below Geoid of Ocean Layer","m",,"This 3-d time dependent field should only be saved for models where it can't be calculated from the vertical coordinate information stored in the file.","zfull","depth_below_geoid",,"m","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","zfull","ocean",,"area: areacello",,
"Oyr","Depth Below Geoid of Interfaces Between Ocean Layers","m",,"This 3-d time dependent field should only be saved for models where it can't be calculated from the vertical coordinate information stored in the file.","zhalf","depth_below_geoid",,"m","time: mean area: mean where sea",,,,,,"real","longitude latitude olevel time","zhalf","ocean",,"area: areacello",,
"Omon","(long name taken from 1st table in Oyr) + "" at surface""","mol m-3 or kg m-3 or 1, consistent with first table in Oyr","(copied from 3D tracer list)"," Concentrations of all 3D tracers in the uppermost ocean layer. See first table in Oyr for a complete list of these tracers.  ""Tracer""  concentations should be reported even if they are diagnosed rather than prognostically calculated.","include Oyr 3D tracers","(copied from 1st table in Oyr)",,"mol m-3 or kg m-3 or 1, consistent with first table in Oyr","time: mean area: mean where sea",,,,,,"real","longitude latitude time depth0m",,"ocnBgchem",,"area: areacello",,
"Omon","Primary Organic Carbon Production by All Types of Phytoplankton","mol m-2 s-1","Vertically integrated total primary (organic carbon) production by phytoplankton.  This should equal the sum of intpdiat+intpphymisc, but those individual components may be unavailable in some models.",,"intpp","net_primary_mole_productivity_of_carbon_by_phytoplankton",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time","intpp","ocnBgchem",,"area: areacello",,
"Omon","Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone","mol m-2 s-1","Vertically integrated primary (organic carbon) production by phytoplankton based on nitrate uptake alone",,"intpnitrate","net_primary_mole_productivity_of_carbon_due_to_nitrate_utilization",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time","intpnitrate","ocnBgchem",,"area: areacello",,
"Omon","Primary Organic Carbon Production by Diatoms","mol m-2 s-1","Vertically integrated primary (organic carbon) production by the diatom phytoplankton component alone",,"intpdiat","net_primary_mole_productivity_of_carbon_by_diatoms",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time","intpdiat","ocnBgchem",,"area: areacello",,
"Omon","Net Primary Mole Productivity of Carbon by Diazotrophs","mol m-2 s-1",,,"intpdiaz","net_primary_mole_productivity_of_carbon_by_diazotrophs",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time","intpdiaz","ocnBgchem",,"area: areacello",,
"Omon","Net Primary Mole Productivity of Carbon by Calcareous Phytoplankton","mol m-2 s-1",,,"intpcalc","net_primary_mole_productivity_of_carbon_by_calcareous_phytoplankton",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time","intpcalc","ocnBgchem",,"area: areacello",,
"Omon","Net Primary Mole Productivity of Carbon by Picophytoplankton","mol m-2 s-1",,,"intppico","net_primary_mole_productivity_of_carbon_by_picophytoplankton",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time","intppico","ocnBgchem",,"area: areacello",,
"Omon","Primary Organic Carbon Production by Other Phytoplankton","mol m-2 s-1","Vertically integrated total primary (organic carbon) production by other phytoplankton components alone",,"intpmisc","net_primary_mole_productivity_of_carbon_by_miscellaneous_phytoplankton",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time","intpmisc","ocnBgchem",,"area: areacello",,
"Omon","Iron Production","mol m-2 s-1","Vertically integrated biogenic iron production",,"intpbfe","tendency_of_ocean_mole_content_of_iron_due_to_biological_production",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time","intpbfe","ocnBgchem",,"area: areacello",,
"Omon","Silica Production","mol m-2 s-1","Vertically integrated biogenic silica production",,"intpbsi","tendency_of_ocean_mole_content_of_silicon_due_to_biological_production",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time","intpbsi","ocnBgchem",,"area: areacello",,
"Omon","Calcite Production","mol m-2 s-1","Vertically integrated calcite production",,"intpcalcite","tendency_of_ocean_mole_content_of_calcite_expressed_as_carbon_due_to_biological_production",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time","intpcalcite","ocnBgchem",,"area: areacello",,
"Omon","Aragonite Production","mol m-2 s-1","Vertically integrated aragonite production",,"intparag","tendency_of_ocean_mole_content_of_aragonite_expressed_as_carbon_due_to_biological_production",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time","intparag","ocnBgchem",,"area: areacello",,
"Omon","Downward Flux of Particle Organic Carbon","mol m-2 s-1",,"at 100 m depth.","epc100","sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude time depth100m","epc100","ocnBgchem",,"area: areacello",,
"Omon","Downward Flux of Particulate Iron","mol m-2 s-1",,"at 100 m depth.","epfe100","sinking_mole_flux_of_particulate_iron_in_sea_water",,"mol m-2 s-1","time: mean area: where sea",,,,,"down","real","longitude latitude time depth100m","epfe100","ocnBgchem",,"area: areacello",,
"Omon","Downward Flux of Particulate Silica","mol m-2 s-1",,"at 100 m depth.","epsi100","sinking_mole_flux_of_particulate_silicon_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude time depth100m","epsi100","ocnBgchem",,"area: areacello",,
"Omon","Downward Flux of Calcite","mol m-2 s-1",,"at 100 m depth.","epcalc100","sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water",,"mol m-2 s-1","time: mean area: where sea",,,,,"down","real","longitude latitude time depth100m","epcalc100","ocnBgchem",,"area: areacello",,
"Omon","Downward Flux of Aragonite","mol m-2 s-1",,"at 100 m depth.","eparag100","sinking_mole_flux_of_aragonite_expressed_as_carbon_in_sea_water",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude time depth100m","eparag100","ocnBgchem",,"area: areacello",,
"Omon","Dissolved Inorganic Carbon Content","kg m-2","Vertically integrated DIC",,"intdic","ocean_mass_content_of_dissolved_inorganic_carbon",,"kg m-2","time: mean area: where sea",,,,,,"real","longitude latitude time","intdic","ocnBgchem",,"area: areacello",,
"Omon","Surface Aqueous Partial Pressure of CO2","Pa",,,"spco2","surface_partial_pressure_of_carbon_dioxide_in_sea_water",,"Pa","time: mean area: mean where sea",,,,,,"real","longitude latitude time","spco2","ocnBgchem",,"area: areacello",,
"Omon","Delta PCO2","Pa",,"Difference between atmospheric and oceanic partial pressure of CO2 (positive meaning ocean > atmosphere)","dpco2","surface_carbon_dioxide_partial_pressure_difference_between_sea_water_and_air",,"Pa","time: mean area: where sea",,,,,,"real","longitude latitude time","dpco2","ocnBgchem",,"area: areacello",,
"Omon","Delta PO2","Pa",,"Difference between atmospheric and oceanic partial pressure of O2 (positive meaning ocean > atmosphere)","dpo2","surface_molecular_oxygen_partial_pressure_difference_between_sea_water_and_air",,"Pa","time: mean area: mean where sea",,,,,,"real","longitude latitude time","dpo2","ocnBgchem",,"area: areacello",,
"Omon","Surface Downward CO2 Flux","kg m-2 s-1","Gas exchange flux of CO2 (positive into ocean)",,"fgco2","surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon",,"kg m-2 s-1","time: mean area: where sea",,,,,"down","real","longitude latitude time","fgco2","ocnBgchem",,"area: areacello",,
"Omon","Surface Downward O2 Flux","mol m-2 s-1","Gas exchange flux of O2 (positive into ocean)",,"fgo2","surface_downward_mole_flux_of_molecular_oxygen",,"mol m-2 s-1","time: mean area: mean where sea",,,,,"down","real","longitude latitude time","fgo2","ocnBgchem",,"area: areacello",,
"Omon","Surface Upward DMS Flux","mol m-2 s-1","Gas exchange flux of DMS (positive into atmosphere)",,"fgdms","surface_upward_mole_flux_of_dimethyl_sulfide",,"mol m-2 s-1","time: mean area: where sea",,,,,"up","real","longitude latitude time","fgdms","ocnBgchem",,"area: areacello",,
"Omon","Flux of Carbon Into Ocean Surface by Runoff and Sediment Dissolution","mol m-2 s-1","Carbon supply to ocean through runoff and sediment dissolution (neglects gas exchange)",,"fsc","tendency_of_ocean_mole_content_of_carbon_due_to_runoff_and_sediment_dissolution",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time","fsc","ocnBgchem",,"area: areacello",,
"Omon","Downward Carbon Flux at Ocean Bottom","mol m-2 s-1","Carbon loss to sediments",,"frc","tendency_of_ocean_mole_content_of_carbon_due_to_sedimentation",,"mol m-2 s-1","time: mean area: where sea",,,,,"down","real","longitude latitude time","frc","ocnBgchem",,"area: areacello",,
"Omon","Nitrogen Fixation Rate in Ocean","mol m-2 s-1","Vertically integrated nitrogen fixation",,"intpn2","tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_fixation",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time","intpn2","ocnBgchem",,"area: areacello",,
"Omon","Surface Downward Net Flux of Nitrogen","mol m-2 s-1",,,"fsn","tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_deposition_and_fixation_and_runoff",,"mol m-2 s-1","time: mean area: where sea",,,,,"down","real","longitude latitude time","fsn","ocnBgchem",,"area: areacello",,
"Omon","Nitrogen Loss to Sediments and through Denitrification","mol m-2 s-1",,,"frn","tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_denitrification_and_sedimentation",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time","frn","ocnBgchem",,"area: areacello",,
"Omon","Surface Downward Net Flux of Iron","mol m-2 s-1","Iron supply through deposition flux onto sea surface, runoff, coasts, sediments, etc",,"fsfe","tendency_of_ocean_mole_content_of_iron_due_to_deposition_and_runoff_and_sediment_dissolution",,"mol m-2 s-1","time: mean area: where sea",,,,,"down","real","longitude latitude time","fsfe","ocnBgchem",,"area: areacello",,
"Omon","Iron Loss to Sediments","mol m-2 s-1",,,"frfe","tendency_of_ocean_mole_content_of_iron_due_to_sedimentation",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time","frfe","ocnBgchem",,"area: areacello",,
"Omon","Oxygen Minimum Concentration","mol m-3",,,"o2min","mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_shallowest_local_minimum_in_vertical_profile",,"mol m-3","time: mean area: where sea depth: minimum",,,,,,"real","longitude latitude time","o2min","ocnBgchem",,"area: areacello",,
"Omon","Depth of Oxygen Minimum Concentration","m","Depth of vertical minimum concentration of dissolved oxygen gas (if two, then the shallower)",,"zo2min","depth_at_shallowest_local_minimum_in_vertical_profile_of_mole_concentration_of_dissolved_molecular_oxygen_in_sea_water",,"m","time: mean area: mean where sea",,,,,,"real","longitude latitude time","zo2min","ocnBgchem",,"area: areacello",,
"Omon","Calcite Saturation Depth","m","Depth of calcite saturation horizon (0 if < surface, ""missing"" if > bottom, if two, then the shallower)",,"zsatcalc","minimum_depth_of_calcite_undersaturation_in_sea_water",,"m","time: mean area: where sea",,,,,,"real","longitude latitude time","zsatcalc","ocnBgchem",,"area: areacello",,
"Omon","Aragonite Saturation Depth","m","Depth of aragonite saturation horizon (0 if < surface, ""missing""  if > bottom, if two, then the shallower)",,"zsatarag","minimum_depth_of_aragonite_undersaturation_in_sea_water",,"m","time: mean area: mean where sea",,,,,,"real","longitude latitude time","zsatarag","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Net Dissolved Inorganic Carbon","mol m-2 s-1",,"integral over upper 100 m only.","fddtdic","tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time olayer100m","fddtdic","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Net Dissolved Inorganic Nitrogen","mol m-2 s-1","Net time rate of change of nitrogen nutrients (e.g. NO3+NH4)","integral over upper 100 m only.","fddtdin","tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time olayer100m","fddtdin","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Net Dissolved Inorganic Phosphate","mol m-2 s-1","vertical integral of net  time rate of change of phosphate","integral over upper 100 m only.","fddtdip","tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time olayer100m","fddtdip","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Net Dissolved Inorganic Iron","mol m-2 s-1","vertical integral of net time rate of change of dissolved inorganic iron","integral over upper 100 m only.","fddtdife","tendency_of_ocean_mole_content_of_dissolved_inorganic_iron",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time olayer100m","fddtdife","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Net Dissolved Inorganic Silicate","mol m-2 s-1","vertical integral of net time rate of change of dissolved inorganic silicate","integral over upper 100 m only.","fddtdisi","tendency_of_ocean_mole_content_of_dissolved_inorganic_silicon",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time olayer100m","fddtdisi","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Alkalinity","mol m-2 s-1","vertical integral of net time rate of change of alkalinity","integral over upper 100 m only.","fddtalk","integral_wrt_depth_of_tendency_of_sea_water_alkalinity_expressed_as_mole_equivalent",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time olayer100m","fddtalk","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Dissolved Inorganic Carbon due to Biological Activity","mol m-2 s-1","vertical integral of net biological terms in time rate of change of dissolved inorganic carbon","integral over upper 100 m only.","fbddtdic","tendency_of_ocean_mole_content_of_dissolved_inorganic_carbon_due_to_biological_processes",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time olayer100m","fbddtdic","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Dissolved Inorganic Nitrogen due to Biological Activity","mol m-2 s-1","vertical integral of net biological terms in time rate of change of nitrogen nutrients (e.g. NO3+NH4)","integral over upper 100 m only.","fbddtdin","tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen_due_to_biological_processes",,"mol m-2 s-1","time: mean area: mean where sea",,,,,,"real","longitude latitude time olayer100m","fbddtdin","ocnBgchem",,"area: areacello",,
"Omon","Rate of Change of Dissolved Inorganic Phosphate due to Biological Activity","mol m-2 s-1","vertical integral of net biological terms in time rate of change of phosphate","integral over upper 100 m only.","fbddtdip","tendency_of_ocean_mole_content_of_dissolved_inorganic_phosphorus_due_to_biological_processes",,"mol m-2 s-1","time: mean area: where sea",,,,,,"real","longitude latitude time olayer100m","fbddtdip","ocnBgchem",,"area: areacello",,
